OrderID,CustomerID,ItemName,Quantity,Price,TotalAmount,OrderTime,Category,PaymentMethod,OrderDay,OrderMonth,CustomerType,OrderStatus,TipAmount,SpecialEvent,OrderChannel,PrepTime(mins),Rating
97,C027,Lemonade,2,100,200,25-07-2025 06:23,Beverage,Wallet,Friday,July,Returning,Completed,45,None,Dine-In,26,5
144,C013,Mojito,4,150,600,07-07-2025 13:11,Beverage,Wallet,Monday,July,New,Completed,95,Promo Day,Online,30,3
35,C010,Fish & Chips,1,150,150,07-07-2025 19:55,Main Course,Wallet,Monday,July,New,Completed,60,None,Online,7,4
98,C014,Chicken Burger,2,90,180,22-08-2025 09:13,Main Course,Card,Friday,August,New,Completed,95,Festival Offer,Online,28,5
90,C038,Cheese Pizza,2,150,300,09-07-2025 15:07,Main Course,Card,Wednesday,July,Returning,Completed,90,None,Dine-In,11,4
69,C006,Hot Dog,3,90,270,26-07-2025 21:45,Main Course,Card,Saturday,July,New,Completed,100,None,Dine-In,11,5
24,C048,Chicken Wings,2,50,100,13-08-2025 19:48,Snack,Wallet,Wednesday,August,New,Completed,100,None,Online,6,4
38,C046,Brownie,2,100,200,24-07-2025 11:37,Dessert,Cash,Thursday,July,Returning,Completed,5,None,Dine-In,12,2
145,C009,Spaghetti,2,150,300,30-09-2025 06:55,Main Course,Cash,Tuesday,September,New,Completed,70,None,Takeaway,5,3
123,C022,Nachos,4,120,480,24-09-2025 18:55,Snack,Cash,Wednesday,September,New,Completed,5,None,Takeaway,11,4
68,C025,Tacos,4,120,480,03-09-2025 20:07,Main Course,Card,Wednesday,September,Returning,Completed,40,Festival Offer,Dine-In,28,3
191,C049,Veg Pizza,3,250,750,21-07-2025 11:13,Main Course,Wallet,Monday,July,Returning,Completed,100,None,Dine-In,5,4
190,C024,Milkshake,1,120,120,09-08-2025 19:46,Beverage,UPI,Saturday,August,Returning,Completed,55,Festival Offer,Online,13,4
126,C016,Sushi Roll,2,250,500,17-07-2025 14:44,Main Course,Wallet,Thursday,July,New,Completed,100,None,Dine-In,17,1
147,C009,Cheese Pizza,1,120,120,09-07-2025 11:40,Main Course,Card,Wednesday,July,Returning,Completed,85,Festival Offer,Takeaway,28,4
194,C032,Chicken Burger,2,80,160,19-09-2025 11:54,Main Course,Card,Friday,September,Returning,Cancelled,55,None,Dine-In,15,3
87,C011,Ice Cream,2,60,120,31-07-2025 08:20,Dessert,Card,Thursday,July,New,Cancelled,30,None,Dine-In,18,5
154,C024,Veg Pizza,2,90,180,19-09-2025 08:06,Main Course,Card,Friday,September,New,Completed,45,None,Takeaway,6,3
122,C036,Ice Cream,3,80,240,25-08-2025 14:06,Dessert,Wallet,Monday,August,New,Completed,55,None,Takeaway,15,4
188,C005,Cheese Pizza,1,350,350,19-07-2025 21:20,Main Course,Card,Saturday,July,Returning,Cancelled,40,None,Dine-In,15,4
166,C005,Cupcake,1,120,120,12-09-2025 07:30,Dessert,Card,Friday,September,Returning,Completed,65,Festival Offer,Dine-In,9,3
175,C024,Chicken Burger,1,60,60,01-09-2025 08:46,Main Course,Card,Monday,September,Returning,Completed,35,None,Online,23,2
168,C014,Milkshake,1,200,200,07-08-2025 18:43,Beverage,UPI,Thursday,August,Returning,Completed,35,None,Takeaway,16,1
51,C031,Brownie,4,80,320,23-09-2025 11:31,Dessert,UPI,Tuesday,September,Returning,Completed,100,None,Dine-In,16,5
131,C005,Veg Pizza,4,200,800,24-09-2025 08:47,Main Course,Cash,Wednesday,September,Returning,Completed,40,None,Online,26,4
55,C002,Ice Cream,2,80,160,19-08-2025 21:08,Dessert,UPI,Tuesday,August,Returning,Completed,35,None,Dine-In,15,3
130,C031,Margherita Pizza,2,120,240,23-08-2025 11:08,Main Course,Wallet,Saturday,August,New,Completed,85,Festival Offer,Takeaway,23,4
39,C049,Lasagna,4,100,400,19-09-2025 08:14,Main Course,Wallet,Friday,September,New,Completed,100,None,Dine-In,8,4
12,C016,Paneer Tikka,3,80,240,08-07-2025 18:00,Main Course,Cash,Tuesday,July,Returning,Completed,15,None,Dine-In,14,5
188,C005,Cheese Pizza,1,350,350,24-08-2025 06:49,Main Course,Card,Sunday,August,Returning,Cancelled,40,None,Dine-In,7,2
184,C023,Hot Dog,1,90,90,28-07-2025 22:49,Main Course,Cash,Monday,July,New,Completed,20,None,Online,19,3
113,C015,Hot Dog,1,50,50,14-07-2025 14:07,Main Course,UPI,Monday,July,New,Completed,40,None,Takeaway,21,4
192,C008,Fish & Chips,2,200,400,08-08-2025 06:49,Main Course,Cash,Friday,August,New,Completed,100,None,Online,17,5
9,C040,Chocolate Cake,2,50,100,01-08-2025 21:53,Dessert,Wallet,Friday,August,Returning,Completed,90,None,Online,7,5
118,C027,Garlic Bread,4,150,600,03-07-2025 11:08,Snack,UPI,Thursday,July,Returning,Cancelled,55,None,Dine-In,22,5
12,C016,Paneer Tikka,3,80,240,28-07-2025 09:06,Main Course,Cash,Monday,July,Returning,Completed,15,Promo Day,Online,13,5
131,C005,Veg Pizza,4,200,800,30-09-2025 14:03,Main Course,Cash,Tuesday,September,Returning,Completed,40,None,Online,24,3
48,C025,Chocolate Cake,2,150,300,25-09-2025 11:54,Dessert,Wallet,Thursday,September,Returning,Completed,75,Festival Offer,Takeaway,9,4
123,C022,Nachos,4,120,480,28-09-2025 06:27,Snack,Cash,Sunday,September,New,Completed,5,None,Dine-In,12,4
165,C028,Fish & Chips,1,100,100,24-08-2025 15:40,Main Course,UPI,Sunday,August,Returning,Completed,45,None,Dine-In,19,4
44,C028,Milkshake,4,60,240,12-07-2025 06:33,Beverage,Card,Saturday,July,Returning,Completed,40,None,Dine-In,26,3
33,C009,Garlic Bread,3,200,600,20-09-2025 14:30,Snack,Card,Saturday,September,Returning,Completed,30,None,Dine-In,27,5
155,C025,Chocolate Cake,1,200,200,12-07-2025 18:04,Dessert,UPI,Saturday,July,New,Cancelled,10,None,Online,12,4
190,C024,Milkshake,1,120,120,03-07-2025 18:11,Beverage,UPI,Thursday,July,Returning,Completed,55,Promo Day,Takeaway,25,1
3,C048,Milkshake,2,150,300,04-08-2025 06:06,Beverage,Wallet,Monday,August,New,Completed,45,None,Online,17,1
116,C001,Ice Cream,4,200,800,10-09-2025 17:54,Dessert,UPI,Wednesday,September,New,Completed,10,None,Online,11,5
21,C017,Garlic Bread,4,100,400,29-09-2025 15:57,Snack,Wallet,Monday,September,New,Completed,80,None,Dine-In,26,4
195,C001,Fish & Chips,3,60,180,25-08-2025 14:35,Main Course,Cash,Monday,August,New,Completed,50,None,Dine-In,23,4
146,C002,Lasagna,3,50,150,12-07-2025 19:12,Main Course,Card,Saturday,July,New,Completed,15,None,Online,14,4
121,C021,Burrito,4,250,1000,16-08-2025 12:20,Main Course,Wallet,Saturday,August,Returning,Completed,30,None,Dine-In,17,5
48,C025,Chocolate Cake,2,150,300,30-08-2025 14:14,Dessert,Wallet,Saturday,August,Returning,Completed,75,None,Dine-In,23,5
199,C004,Hot Dog,2,120,240,07-09-2025 15:14,Main Course,UPI,Sunday,September,New,Completed,10,Festival Offer,Takeaway,27,4
65,C050,Paneer Tikka,1,80,80,11-08-2025 19:24,Main Course,UPI,Monday,August,Returning,Completed,0,None,Takeaway,8,2
128,C007,Garlic Bread,3,150,450,20-08-2025 09:02,Snack,Wallet,Wednesday,August,New,Completed,5,None,Takeaway,22,4
75,C018,Sushi Roll,4,150,600,17-08-2025 17:08,Main Course,Card,Sunday,August,New,Completed,55,None,Dine-In,24,3
190,C024,Milkshake,1,120,120,11-07-2025 09:08,Beverage,UPI,Friday,July,Returning,Completed,55,None,Dine-In,13,4
30,C005,Mojito,2,50,100,18-08-2025 12:42,Beverage,Wallet,Monday,August,New,Completed,45,None,Takeaway,21,5
84,C004,Garlic Bread,4,60,240,15-07-2025 06:19,Snack,Card,Tuesday,July,New,Completed,5,None,Online,10,1
40,C032,Spaghetti,4,150,600,17-08-2025 15:31,Main Course,UPI,Sunday,August,New,Completed,45,None,Dine-In,10,5
108,C035,Lemonade,3,120,360,08-07-2025 12:11,Beverage,Wallet,Tuesday,July,New,Cancelled,30,None,Takeaway,22,4
22,C049,Paneer Tikka,3,60,180,23-08-2025 10:40,Main Course,Cash,Saturday,August,New,Cancelled,15,Promo Day,Takeaway,21,4
88,C030,Cheese Pizza,3,50,150,16-09-2025 14:27,Main Course,Cash,Tuesday,September,Returning,Completed,30,None,Online,28,4
134,C031,Spring Rolls,4,150,600,10-07-2025 08:53,Snack,Cash,Thursday,July,Returning,Completed,95,Festival Offer,Takeaway,10,3
185,C042,Grilled Sandwich,1,90,90,19-07-2025 20:23,Snack,Wallet,Saturday,July,Returning,Completed,85,None,Takeaway,30,2
90,C038,Cheese Pizza,2,150,300,26-09-2025 10:31,Main Course,Card,Friday,September,Returning,Completed,90,None,Dine-In,12,5
45,C026,Sushi Roll,1,80,80,20-07-2025 17:01,Main Course,UPI,Sunday,July,Returning,Completed,65,None,Online,17,3
